iter	Passed	Remaining
0	130	130510
1	131	65704
2	132	44098
3	133	33286
4	134	26827
5	135	22498
6	136	19412
7	137	17083
8	138	15261
9	139	13835
10	141	12679
11	142	11710
12	143	10910
13	144	10207
14	145	9582
15	146	9034
16	147	8555
17	148	8125
18	149	7737
19	150	7390
20	151	7072
21	152	6792
22	153	6531
23	154	6291
24	155	6071
25	156	5868
26	157	5684
27	158	5513
28	159	5350
29	160	5196
30	161	5053
31	162	4919
32	163	4795
33	164	4677
34	165	4565
35	166	4459
36	167	4359
37	168	4265
38	169	4176
39	170	4089
40	171	4009
41	172	3933
42	173	3859
43	174	3789
44	175	3722
45	176	3658
46	177	3599
47	178	3540
48	179	3484
49	180	3429
50	181	3376
51	182	3325
52	183	3275
53	184	3228
54	185	3182
55	186	3141
56	187	3098
57	188	3057
58	189	3016
59	190	2979
60	191	2942
61	192	2907
62	193	2872
63	194	2838
64	195	2806
65	196	2774
66	197	2745
67	197	2709
68	198	2680
69	199	2653
70	200	2626
71	201	2601
72	202	2575
73	203	2550
74	204	2526
75	205	2501
76	206	2477
77	207	2456
78	208	2434
79	209	2412
80	210	2392
81	211	2370
82	212	2351
83	213	2332
84	214	2309
85	215	2291
86	216	2268
87	217	2251
88	218	2234
89	219	2216
90	220	2201
91	221	2185
92	222	2168
93	223	2153
94	224	2137
95	225	2122
96	226	2107
97	227	2095
98	228	2081
99	229	2067
100	230	2053
101	231	2035
102	232	2022
103	233	2009
104	234	1997
105	235	1984
106	236	1972
107	237	1960
108	238	1949
109	239	1938
110	240	1927
111	241	1915
112	242	1904
113	243	1892
114	244	1881
115	245	1869
116	246	1859
117	247	1848
118	248	1837
119	249	1826
120	250	1817
121	251	1807
122	251	1795
123	252	1785
124	253	1776
125	254	1765
126	255	1756
127	256	1745
128	257	1738
129	258	1730
130	259	1722
131	260	1714
132	261	1705
133	262	1696
134	263	1688
135	264	1681
136	265	1674
137	266	1665
138	267	1658
139	268	1650
140	269	1643
141	270	1636
142	271	1629
143	272	1622
144	273	1615
145	274	1608
146	275	1601
147	276	1593
148	277	1587
149	279	1581
150	279	1574
151	280	1567
152	281	1561
153	282	1554
154	283	1547
155	284	1540
156	285	1535
157	287	1529
158	288	1523
159	289	1518
160	290	1513
161	292	1512
162	293	1506
163	294	1500
164	295	1495
165	296	1490
166	297	1484
167	298	1477
168	299	1472
169	300	1465
170	301	1460
171	302	1454
172	303	1449
173	304	1444
174	305	1438
175	306	1433
176	307	1428
177	308	1424
178	309	1418
179	310	1413
180	310	1406
181	311	1401
182	312	1396
183	313	1392
184	314	1387
